symbol,exchange
360ONE,NSE
ABB,NSE
APLAPOLLO,NSE
AUBANK,NSE
ADANIENSOL,NSE
ADANIENT,NSE
ADANIGREEN,NSE
ADANIPORTS,NSE
ADANIPOWER,NSE
ABCAPITAL,NSE
ALKEM,NSE
AMBER,NSE
AMBUJACEM,NSE
ANGELONE,NSE
APOLLOHOSP,NSE
ASHOKLEY,NSE
ASIANPAINT,NSE
ASTRAL,NSE
AUROPHARMA,NSE
DMART,NSE
AXISBANK,NSE
BSE,NSE
BAJAJ-AUTO,NSE
BAJFINANCE,NSE
BAJAJFINSV,NSE
BAJAJHLDNG,NSE
BANDHANBNK,NSE
BANKBARODA,NSE
BANKINDIA,NSE
BDL,NSE
BEL,NSE
BHARATFORG,NSE
BHEL,NSE
BPCL,NSE
BHARTIARTL,NSE
BIOCON,NSE
BLUESTARCO,NSE
BOSCHLTD,NSE
BRITANNIA,NSE
CGPOWER,NSE
CANBK,NSE
CDSL,NSE
CHOLAFIN,NSE
CIPLA,NSE
COALINDIA,NSE
COCHINSHIP,NSE
COFORGE,NSE
COLPAL,NSE
CAMS,NSE
CONCOR,NSE
CROMPTON,NSE
CUMMINSIND,NSE
DLF,NSE
DABUR,NSE
DALBHARAT,NSE
DELHIVERY,NSE
DIVISLAB,NSE
DIXON,NSE
DRREDDY,NSE
ETERNAL,NSE
EICHERMOT,NSE
EXIDEIND,NSE
FORCEMOT,NSE
NYKAA,NSE
FORTIS,NSE
GAIL,NSE
GMRAIRPORT,NSE
GLENMARK,NSE
GODFRYPHLP,NSE
GODREJCP,NSE
GODREJPROP,NSE
GRASIM,NSE
HCLTECH,NSE
HDFCAMC,NSE
HDFCBANK,NSE
HDFCLIFE,NSE
HAVELLS,NSE
HEROMOTOCO,NSE
HINDALCO,NSE
HAL,NSE
HINDPETRO,NSE
HINDUNILVR,NSE
HINDZINC,NSE
POWERINDIA,NSE
HUDCO,NSE
HYUNDAI,NSE
ICICIBANK,NSE
ICICIGI,NSE
ICICIPRULI,NSE
IDFCFIRSTB,NSE
ITC,NSE
INDIANB,NSE
IEX,NSE
IOC,NSE
IRFC,NSE
IREDA,NSE
INDUSTOWER,NSE
INDUSINDBK,NSE
NAUKRI,NSE
INFY,NSE
INOXWIND,NSE
INDIGO,NSE
JINDALSTEL,NSE
JSWENERGY,NSE
JSWSTEEL,NSE
JIOFIN,NSE
JUBLFOOD,NSE
KEI,NSE
KPITTECH,NSE
KALYANKJIL,NSE
KAYNES,NSE
KFINTECH,NSE
KOTAKBANK,NSE
LTF,NSE
LICHSGFIN,NSE
LTM,NSE
LT,NSE
LAURUSLABS,NSE
LICI,NSE
LODHA,NSE
LUPIN,NSE
M&M,NSE
MANAPPURAM,NSE
MANKIND,NSE
MARICO,NSE
MARUTI,NSE
MFSL,NSE
MAXHEALTH,NSE
MAZDOCK,NSE
MOTILALOFS,NSE
MPHASIS,NSE
MCX,NSE
MUTHOOTFIN,NSE
NBCC,NSE
NHPC,NSE
NMDC,NSE
NTPC,NSE
NATIONALUM,NSE
NESTLEIND,NSE
NAM-INDIA,NSE
NUVAMA,NSE
OBEROIRLTY,NSE
ONGC,NSE
OIL,NSE
PAYTM,NSE
OFSS,NSE
POLICYBZR,NSE
PGEL,NSE
PIIND,NSE
PNBHOUSING,NSE
PAGEIND,NSE
PATANJALI,NSE
PERSISTENT,NSE
PETRONET,NSE
PIDILITIND,NSE
PPLPHARMA,NSE
POLYCAB,NSE
PFC,NSE
POWERGRID,NSE
PREMIERENE,NSE
PRESTIGE,NSE
PNB,NSE
RBLBANK,NSE
RECLTD,NSE
RVNL,NSE
RELIANCE,NSE
SBICARD,NSE
SBILIFE,NSE
SHREECEM,NSE
SRF,NSE
SAMMAANCAP,NSE
MOTHERSON,NSE
SHRIRAMFIN,NSE
SIEMENS,NSE
SOLARINDS,NSE
SONACOMS,NSE
SBIN,NSE
SAIL,NSE
SUNPHARMA,NSE
SUPREMEIND,NSE
SUZLON,NSE
SWIGGY,NSE
TATACONSUM,NSE
TVSMOTOR,NSE
TCS,NSE
TATAELXSI,NSE
TMPV,NSE
TATAPOWER,NSE
TATASTEEL,NSE
TATATECH,NSE
TECHM,NSE
FEDERALBNK,NSE
INDHOTEL,NSE
PHOENIXLTD,NSE
TITAN,NSE
TORNTPHARM,NSE
TORNTPOWER,NSE
TRENT,NSE
TIINDIA,NSE
UNOMINDA,NSE
UPL,NSE
ULTRACEMCO,NSE
UNIONBANK,NSE
UNITDSPR,NSE
VBL,NSE
VEDL,NSE
VMM,NSE
IDEA,NSE
VOLTAS,NSE
WAAREEENER,NSE
WIPRO,NSE
YESBANK,NSE
ZYDUSLIFE